dateCrawled,price,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,postalCode
2016-03-06 00:45:43,10900,cabrio,2013,manuell,69,500,10000,1,benzin,fiat,nein,22763
2016-03-06 00:45:47,15666,coupe,2010,manuell,160,a5,90000,12,benzin,audi,nein,4600
2016-03-06 00:46:02,350,kleinwagen,2001,manuell,90,almera,150000,10,benzin,nissan,ja,14165
2016-03-06 00:46:03,900,kleinwagen,1999,manuell,58,twingo,150000,6,benzin,renault,nein,52070
2016-03-06 00:46:03,500,bus,2007,manuell,0,i_reihe,150000,4,benzin,hyundai,ja,25335
2016-03-06 00:46:05,4500,kleinwagen,2011,manuell,68,andere,30000,12,benzin,suzuki,nein,31134
2016-03-06 00:46:05,4600,coupe,2006,manuell,105,golf,150000,7,diesel,volkswagen,nein,16348
2016-03-06 00:46:06,10800,limousine,2008,automatik,170,a3,150000,2,diesel,audi,ja,12627
2016-03-06 00:46:07,850,limousine,1993,manuell,90,80,150000,6,benzin,audi,nein,99817
2016-03-06 00:46:10,4850,cabrio,1981,manuell,0,golf,150000,6,benzin,volkswagen,nein,21079
2016-03-06 00:48:57,800,kleinwagen,1998,manuell,75,fiesta,20000,9,benzin,ford,nein,51061
2016-03-06 00:49:15,12500,bus,2013,manuell,105,roomster,40000,2,diesel,skoda,nein,23879
2016-03-06 00:49:16,1200,kleinwagen,1998,manuell,58,twingo,150000,4,benzin,renault,nein,46145
2016-03-06 00:49:17,4799,cabrio,2000,manuell,163,c_reihe,150000,9,benzin,volvo,nein,72770
2016-03-06 00:49:18,5900,cabrio,2005,manuell,68,andere,60000,6,benzin,daihatsu,nein,82256
2016-03-06 00:49:23,10200,kombi,2008,manuell,170,e_klasse,150000,12,diesel,mercedes_benz,nein,49090
2016-03-06 00:49:30,2650,coupe,2001,manuell,0,3er,150000,11,benzin,bmw,nein,52428
2016-03-06 00:49:31,2590,cabrio,2003,manuell,95,ka,100000,4,benzin,ford,nein,4209
2016-03-06 00:49:35,5900,kombi,2008,manuell,125,v50,150000,5,andere,volvo,nein,26316
2016-03-06 00:49:38,5990,bus,2007,automatik,173,andere,150000,10,diesel,renault,nein,23562
2016-03-06 00:49:49,1100,kleinwagen,1995,manuell,54,punto,125000,12,benzin,fiat,nein,75305
2016-03-06 00:49:51,5850,bus,2007,manuell,105,roomster,125000,1,benzin,skoda,nein,93167
2016-03-06 00:49:53,15000,coupe,2009,manuell,170,tt,150000,3,diesel,audi,nein,59929
2016-03-06 00:49:54,666,kombi,1998,automatik,136,omega,150000,12,lpg,opel,nein,12627
2016-03-06 00:49:54,600,coupe,1994,manuell,102,3er,125000,12,benzin,bmw,ja,87466
2016-03-06 00:49:56,4100,limousine,2003,manuell,116,3er,100000,3,benzin,bmw,nein,73441
2016-03-06 00:51:10,1200,kleinwagen,2003,manuell,60,ka,90000,3,benzin,ford,nein,35039
2016-03-06 00:51:17,2300,kleinwagen,2000,automatik,80,punto,90000,4,benzin,fiat,nein,35580
2016-03-06 00:51:18,1000,bus,2005,manuell,101,scenic,150000,3,diesel,renault,ja,35080
2016-03-06 00:51:19,1300,bus,2000,manuell,100,andere,150000,5,benzin,mazda,nein,35039
2016-03-06 00:51:20,5490,limousine,2005,automatik,163,e_klasse,150000,9,cng,mercedes_benz,nein,65510
2016-03-06 00:51:21,3150,limousine,2003,manuell,98,almera,100000,9,benzin,nissan,nein,56330
2016-03-06 00:51:21,14200,bus,2011,automatik,170,alhambra,150000,8,diesel,seat,nein,60599
2016-03-06 00:51:54,2990,kombi,2004,manuell,150,signum,150000,12,diesel,opel,ja,97234
2016-03-06 00:51:55,8299,bus,2012,manuell,105,golf,150000,3,diesel,volkswagen,nein,42651
2016-03-06 00:51:56,1350,kleinwagen,1998,manuell,58,twingo,150000,12,benzin,renault,nein,37217
2016-03-06 00:51:56,5900,kombi,2009,manuell,122,golf,150000,6,benzin,volkswagen,nein,15344
2016-03-06 00:52:01,12900,kombi,2009,manuell,177,3er,150000,1,diesel,bmw,nein,49393
2016-03-06 00:52:07,8900,limousine,2006,manuell,116,1er,125000,3,benzin,bmw,nein,66128
2016-03-06 00:52:08,24999,coupe,2010,automatik,286,3er,150000,6,diesel,bmw,nein,41462
2016-03-06 00:52:09,350,kleinwagen,2000,manuell,90,tigra,150000,0,benzin,opel,ja,29664
2016-03-06 00:52:52,26900,kombi,2014,automatik,170,c_klasse,30000,3,diesel,mercedes_benz,nein,70599
2016-03-06 00:53:53,0,kombi,2005,manuell,136,v50,150000,9,diesel,volvo,nein,19217
2016-03-06 00:54:30,1800,kombi,2003,manuell,204,3er,150000,4,diesel,bmw,ja,85238
2016-03-06 00:54:55,5500,kombi,2006,manuell,140,passat,150000,12,diesel,volkswagen,nein,45143
2016-03-06 00:54:57,950,kombi,1998,manuell,122,c_klasse,150000,4,benzin,mercedes_benz,nein,59846
2016-03-06 00:55:04,1850,limousine,1994,manuell,122,c_klasse,150000,10,benzin,mercedes_benz,nein,88348
2016-03-06 00:55:05,0,kleinwagen,2001,manuell,75,twingo,150000,9,benzin,renault,ja,26624
2016-03-06 00:55:07,2400,kleinwagen,2005,manuell,60,corsa,125000,6,benzin,opel,nein,70374
2016-03-06 00:55:09,38750,coupe,2013,automatik,155,a5,30000,5,benzin,audi,nein,16348
2016-03-06 00:55:10,6199,kombi,2005,automatik,224,a6,150000,7,diesel,audi,nein,41464
2016-03-06 00:55:11,29900,limousine,2014,automatik,220,octavia,10000,4,benzin,skoda,nein,68307
2016-03-06 00:55:12,3500,bus,2004,manuell,101,touran,150000,1,diesel,volkswagen,ja,44894
2016-03-06 00:55:12,1350,kleinwagen,2001,manuell,58,corsa,150000,1,benzin,opel,nein,87437
2016-03-06 00:55:22,4200,coupe,1993,manuell,125,cr_reihe,150000,4,benzin,honda,nein,63486
2016-03-06 00:55:27,4900,limousine,2002,automatik,177,andere,150000,6,benzin,mercedes_benz,nein,10627
2016-03-06 00:55:27,999,kleinwagen,1996,manuell,60,corsa,125000,3,benzin,opel,nein,45892
2016-03-06 00:55:29,6900,limousine,2002,automatik,143,c_klasse,90000,6,diesel,mercedes_benz,nein,41460
2016-03-06 00:55:29,3200,kleinwagen,2008,manuell,84,fortwo,150000,1,benzin,smart,nein,69168
2016-03-06 00:55:34,0,kombi,2003,manuell,143,3er,150000,11,benzin,bmw,nein,50968
2016-03-06 00:55:37,8900,coupe,2001,manuell,343,m_reihe,150000,2,benzin,bmw,ja,75365
2016-03-06 00:55:43,12900,limousine,2010,manuell,143,1er,125000,6,diesel,bmw,nein,72401
2016-03-06 00:55:44,950,kleinwagen,1999,manuell,75,2_reihe,150000,2,benzin,peugeot,nein,33758
2016-03-06 00:55:46,3300,kombi,2001,automatik,155,a6,150000,5,diesel,audi,nein,63599
2016-03-06 00:55:47,2200,kleinwagen,2002,manuell,0,lupo,125000,0,benzin,volkswagen,nein,89081
2016-03-06 00:55:48,1900,kleinwagen,2004,manuell,62,polo,150000,1,benzin,volkswagen,nein,71336
2016-03-06 00:55:52,800,limousine,1991,manuell,54,golf,150000,2,benzin,volkswagen,ja,52134
2016-03-06 00:55:55,2500,kombi,2005,manuell,101,passat,150000,3,diesel,volkswagen,nein,17291
2016-03-06 00:56:01,11499,cabrio,2006,automatik,200,a4,125000,2,benzin,audi,nein,4420
2016-03-06 00:56:02,950,kleinwagen,1995,manuell,54,clio,100000,9,benzin,renault,nein,6578
2016-03-06 00:56:06,500,limousine,1999,automatik,200,andere,150000,8,benzin,saab,nein,90431
2016-03-06 00:56:07,33999,cabrio,2010,manuell,420,m_reihe,80000,3,benzin,bmw,nein,70376
2016-03-06 00:56:08,15600,limousine,2010,manuell,170,c_klasse,150000,10,diesel,mercedes_benz,nein,45127
2016-03-06 00:56:09,9000,kleinwagen,2012,manuell,73,c3,30000,5,benzin,citroen,nein,89129
2016-03-06 00:56:11,0,limousine,2004,manuell,60,lupo,150000,11,benzin,volkswagen,ja,73084
2016-03-06 00:56:22,1600,limousine,2004,automatik,101,focus,150000,1,diesel,ford,nein,66333
2016-03-06 00:56:25,5900,coupe,2001,manuell,170,3er,150000,7,benzin,bmw,nein,57572
2016-03-06 00:56:27,1450,bus,2002,manuell,106,yaris,150000,10,benzin,toyota,nein,90431
2016-03-06 00:56:28,1500,andere,2001,manuell,58,agila,90000,1,benzin,opel,nein,59192
2016-03-06 00:56:36,13000,limousine,2014,manuell,100,andere,40000,7,benzin,hyundai,nein,89275
2016-03-06 00:56:40,3500,bus,2005,manuell,0,zafira,150000,0,cng,opel,nein,36137
2016-03-06 00:56:41,2800,limousine,2004,manuell,98,almera,150000,3,benzin,nissan,nein,18109
2016-03-06 00:56:43,940,kleinwagen,2002,manuell,58,corsa,150000,6,benzin,opel,ja,42857
2016-03-06 00:56:43,14000,limousine,2011,automatik,136,c_klasse,125000,6,diesel,mercedes_benz,nein,10777
2016-03-06 00:56:44,3650,limousine,1998,manuell,194,golf,150000,5,benzin,volkswagen,nein,66113
2016-03-06 00:56:46,0,kleinwagen,1996,manuell,0,polo,150000,4,benzin,volkswagen,nein,94431
